Date,Open,High,Low,Close
04/12/2022,4437.59,4471,4381.34,4397.45
04/13/2022,4394.3,4453.92,4392.7,4446.59
04/14/2022,4449.12,4460.46,4390.77,4392.59
04/18/2022,4385.63,4410.31,4370.3,4391.69
04/19/2022,4390.63,4471.03,4390.63,4462.21
04/20/2022,4472.26,4488.29,4448.76,4459.45
04/21/2022,4489.17,4512.94,4384.47,4393.66
04/22/2022,4385.83,4385.83,4267.62,4271.78
04/25/2022,4255.34,4299.02,4200.82,4296.12
04/26/2022,4278.14,4278.14,4175.04,4175.2
04/27/2022,4186.52,4240.71,4162.9,4183.96
04/28/2022,4222.58,4308.45,4188.63,4287.5
04/29/2022,4253.75,4269.68,4124.28,4131.93
05/02/2022,4130.61,4169.81,4062.51,4155.38
05/03/2022,4159.78,4200.1,4147.08,4175.48
05/04/2022,4181.18,4307.66,4148.91,4300.17
05/05/2022,4270.43,4270.43,4106.01,4146.87
05/06/2022,4128.17,4157.69,4067.91,4123.34
05/09/2022,4081.27,4081.27,3975.48,3991.24
05/10/2022,4035.18,4068.82,3958.17,4001.05
05/11/2022,3990.08,4049.09,3928.82,3935.18
05/12/2022,3903.95,3964.8,3858.87,3930.08
05/13/2022,3963.9,4038.88,3963.9,4023.89
05/16/2022,4013.02,4046.46,3983.99,4008.01
05/17/2022,4052,4090.72,4033.93,4088.85
05/18/2022,4051.98,4051.98,3911.91,3923.68
05/19/2022,3899,3945.96,3876.58,3900.79
05/20/2022,3927.76,3943.42,3810.32,3901.36
05/23/2022,3919.42,3981.88,3909.04,3973.75
05/24/2022,3942.94,3955.68,3875.13,3941.48
05/25/2022,3929.59,3999.33,3925.03,3978.73
05/26/2022,3984.6,4075.14,3984.6,4057.84
05/27/2022,4077.25,4158.49,4077.43,4158.24
05/31/2022,4151.09,4168.34,4104.88,4132.15
06/01/2022,4149.78,4166.54,4073.85,4101.23
06/02/2022,4095.41,4177.51,4074.37,4176.82
06/03/2022,4137.57,4142.67,4098.67,4108.54
06/06/2022,4134.72,4168.78,4109.18,4121.43
06/07/2022,4096.47,4164.86,4080.19,4160.68
06/08/2022,4147.12,4160.14,4107.2,4115.77
06/09/2022,4101.65,4119.1,4017.17,4017.82
06/10/2022,3974.39,3974.39,3900.16,3900.86
06/13/2022,3838.15,3838.15,3734.3,3749.63
06/14/2022,3763.52,3778.18,3705.68,3735.48
06/15/2022,3764.05,3837.56,3722.3,3789.99
06/16/2022,3728.18,3728.18,3639.77,3666.77
06/17/2022,3665.9,3707.71,3636.87,3674.84
06/21/2022,3715.31,3779.65,3715.31,3764.79
06/22/2022,3733.89,3801.79,3717.69,3759.89
06/23/2022,3774.71,3802.58,3743.52,3795.73
06/24/2022,3821.75,3913.65,3821.75,3911.74
06/27/2022,3920.76,3927.72,3889.66,3900.11
06/28/2022,3913,3945.86,3820.14,3821.55
06/29/2022,3825.09,3836.5,3799.02,3818.83
06/30/2022,3785.99,3818.99,3738.67,3785.38
07/01/2022,3781.08,3829.82,3752.1,3825.33
07/05/2022,3792.61,3832.19,3742.06,3831.39
07/06/2022,3831.98,3870.91,3809.37,3845.08
07/07/2022,3858.85,3910.63,3858.85,3902.62
07/08/2022,3888.26,3918.5,3869.34,3899.38
07/11/2022,3880.94,3880.94,3847.22,3854.43
07/12/2022,3851.95,3873.41,3802.36,3818.8
